trend(t-2),trend(t-1),value(t-1),value(t-2),predict(t)
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,2.01523833,0,1
1,1,4.120718316,2.01523833,1
1,1,4.977530151,4.120718316,1
1,1,5.003546679,4.977530151,1
1,1,5.860153775,5.003546679,1
1,1,4.660784521,5.860153775,1
1,1,3.391274331,4.660784521,0
1,0,2.535543299,3.391274331,0
0,0,2.510543054,2.535543299,0
0,0,1.654893044,2.510543054,1
0,1,61.06348956,1.654893044,1
1,1,85.32375242,61.06348956,1
1,1,95.41371251,85.32375242,1
1,1,99.17940775,95.41371251,1
1,1,101.1532646,99.17940775,1
1,1,41.45623997,101.1532646,0
1,0,16.5529948,41.45623997,0
0,0,7.497705901,16.5529948,0
0,0,4.451091095,7.497705901,0
0,0,2.50361863,4.451091095,0
0,0,2.820713044,2.50361863,0
0,0,2.751487602,2.820713044,0
0,0,1.921118862,2.751487602,0
0,0,1.30957927,1.921118862,0
0,0,1.298501069,1.30957927,0
0,0,0.467916951,1.298501069,0
0,0,0.417695124,0.467916951,0
0,0,0.250024803,0.417695124,0
0,0,0.170059464,0.250024803,0
0,0,0.180468522,0.170059464,0
0,0,0.203898175,0.180468522,0
0,0,0.643012065,0.203898175,0
0,0,0.674858556,0.643012065,0
0,0,0.757328303,0.674858556,0
0,0,0.755017391,0.757328303,0
0,0,0.737134967,0.755017391,0
0,0,0.228099378,0.737134967,0
0,0,0.176822578,0.228099378,0
0,0,0.408969087,0.176822578,0
0,0,0.54363176,0.408969087,0
0,0,0.684893046,0.54363176,0
0,0,1.126294468,0.684893046,0
0,0,1.449297025,1.126294468,0
0,0,1.288329686,1.449297025,0
0,0,1.26313555,1.288329686,0
0,0,1.670811711,1.26313555,0
0,0,1.411065959,1.670811711,0
0,0,1.181334194,1.411065959,0
0,0,1.207468168,1.181334194,0
0,0,1.164607004,1.207468168,0
0,0,0.644415174,1.164607004,0
0,0,0.770174111,0.644415174,0
0,0,0.72991195,0.770174111,0
0,0,0.533758181,0.72991195,0
0,0,0.471937159,0.533758181,0
0,0,1.29603776,0.471937159,0
0,0,2.02357446,1.29603776,0
0,0,2.045894689,2.02357446,0
0,0,2.195847046,2.045894689,0
0,0,2.401833952,2.195847046,0
0,0,1.693122709,2.401833952,0
0,0,0.667305418,1.693122709,0
0,0,0.624277898,0.667305418,0
0,0,0.553992663,0.624277898,0
