value(t),predict(t),value(t-1),value(t-2),trend(t-1),trend(t-2)
1.175943492,0,1.089955378,0.791828336,0,0
1.319609528,0,1.175943492,1.089955378,0,0
1.256707532,0,1.319609528,1.175943492,0,0
2.085345501,0,1.256707532,1.319609528,0,0
2.755286711,0,2.085345501,1.256707532,0,0
2.992356852,0,2.755286711,2.085345501,0,0
2.815348415,0,2.992356852,2.755286711,0,0
3.19076613,0,2.815348415,2.992356852,0,0
2.177524608,0,3.19076613,2.815348415,0,0
1.49530639,0,2.177524608,3.19076613,0,0
1.348160938,0,1.49530639,2.177524608,0,0
1.432457013,0,1.348160938,1.49530639,0,0
0.949361112,0,1.432457013,1.348160938,0,0
1.541242106,0,0.949361112,1.432457013,0,0
1.630742936,0,1.541242106,0.949361112,0,0
1.258085138,0,1.630742936,1.541242106,0,0
1.387705034,0,1.258085138,1.630742936,0,0
1.767922541,0,1.387705034,1.258085138,0,0
1.175783114,0,1.767922541,1.387705034,0,0
1.866149257,0,1.175783114,1.767922541,0,0
2.06719759,0,1.866149257,1.175783114,0,0
2.54463884,0,2.06719759,1.866149257,0,0
2.107393406,0,2.54463884,2.06719759,0,0
2.689041955,0,2.107393406,2.54463884,0,0
2.323966302,0,2.689041955,2.107393406,0,0
2.443953728,0,2.323966302,2.689041955,0,0
2.039425422,0,2.443953728,2.323966302,0,0
2.481590628,0,2.039425422,2.443953728,0,0
1.848287568,0,2.481590628,2.039425422,0,0
1.521236475,0,1.848287568,2.481590628,0,0
1.301934351,0,1.521236475,1.848287568,0,0
1.317749412,0,1.301934351,1.521236475,0,0
1.159526082,0,1.317749412,1.301934351,0,0
1.210235988,0,1.159526082,1.317749412,0,0
1.073588873,0,1.210235988,1.159526082,0,0
1.150020249,0,1.073588873,1.210235988,0,0
0.998134272,0,1.150020249,1.073588873,0,0
0.726939621,0,0.998134272,1.150020249,0,0
0.676073125,0,0.726939621,0.998134272,0,0
0.770029502,0,0.676073125,0.726939621,0,0
0.640513537,0,0.770029502,0.676073125,0,0
0.576730795,0,0.640513537,0.770029502,0,0
1.047294641,0,0.576730795,0.640513537,0,0
1.168298226,0,1.047294641,0.576730795,0,0
0.863236408,0,1.168298226,1.047294641,0,0
1.092386015,0,0.863236408,1.168298226,0,0
0.976216139,0,1.092386015,0.863236408,0,0
0.901028939,0,0.976216139,1.092386015,0,0
0.779672453,0,0.901028939,0.976216139,0,0
1.289433638,0,0.779672453,0.901028939,0,0
1.470235563,0,1.289433638,0.779672453,0,0
1.527606014,0,1.470235563,1.289433638,0,0
1.369013856,0,1.527606014,1.470235563,0,0
1.421497275,0,1.369013856,1.527606014,0,0
1.06564243,0,1.421497275,1.369013856,0,0
0.898992561,0,1.06564243,1.421497275,0,0
1.046367664,0,0.898992561,1.06564243,0,0
0.808694618,0,1.046367664,0.898992561,0,0
1.234525529,0,0.808694618,1.046367664,0,0
1.509623607,0,1.234525529,0.808694618,0,0
1.428080493,0,1.509623607,1.234525529,0,0
1.351754753,0,1.428080493,1.509623607,0,0
1.593692728,0,1.351754753,1.428080493,0,0
1.172130157,0,1.593692728,1.351754753,0,0
0.822132292,0,1.172130157,1.593692728,0,0
0.738613488,0,0.822132292,1.172130157,0,0
0.611045275,0,0.738613488,0.822132292,0,0
0.371728688,0,0.611045275,0.738613488,0,0
1.130578165,0,0.371728688,0.611045275,0,0
1.928140164,0,1.130578165,0.371728688,0,0
2.023915102,0,1.928140164,1.130578165,0,0
2.157299755,0,2.023915102,1.928140164,0,0
2.421284342,0,2.157299755,2.023915102,0,0
1.827079285,0,2.421284342,2.157299755,0,0
0.902491785,0,1.827079285,2.421284342,0,0
0.679093923,0,0.902491785,1.827079285,0,0
0.545564384,0,0.679093923,0.902491785,0,0
0.29002608,0,0.545564384,0.679093923,0,0
