id,Topic,Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,Trend,predict,Max_LogisticRegression_predict,Max_DecisionTree_predict,Max_GaussianProcess_predict,Max_KNeighbors_predict,Max_MLP_predict,Max_LinearSVC_predict,Max_PassiveAgressive_predict,Max_BernoulliNB_predict,Max_BaggingAndKNeighbours_predict,Max_GaussianNB_predict,Max_NearestCentroid_predict,Max_RandomForest_predict,Max_AdaBoostDecisionTree_predict,Max_ExtraTree_predict,Max_SGD_predict,Max_LabelPropagation_predict,Max_GradientBoosting_predict,Max_Ridge_predict
10,#momlife,20171030-200800,6.767677941,4.374182832,5.362997646,5.965432434,4.933104294,5.180989169,4.603003791,3.17808124,1.700238359,1.427102319,1.344026862,1.550111046,2.056743154,1.310536498,1.502614933,1.336868313,1.818356257,1.318521179,3.324322672,4.586971318,4.964464293,4.197165703,4.403512101,2.753417108,1.294778573,1.072395806,1.979810648,2.435313292,2.224093417,2.370992642,2.363163613,1.297022014,1.01397282,1.013555335,0.867885732,1.050645685,1.795684777,1.785533332,1.629862869,1.950661612,1.750536144,1.005356456,0.465901998,0.464859148,0.448613898,0.820180269,0.95322866,0.95318814,0.953148199,0.779529665,0.269874687,0.136256521,0.135734077,0.265575007,0.131760593,0.263414909,0.559516688,0.858536113,0.855722132,0.984651512,0.852984127,0.683208579,0.511132396,0.509586884,0.678463474,0.679364898,0.682443578,0.86195918,0.735779679,0.567825607,0.871128415,0.878066301,0.710031991,0.845180983,0.854002995,0.866119192,0.868595506,0.867560396,1.090866797,1.078554014,0.917227487,0.78296901,1.343195553,1.401602931,1.277167114,1.129867452,1.331564888,0.833108765,0.420804676,0.623954124,0.83264734,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
11,#momlife,20171108-183800,0.686934372,-5.77E-15,1.594360833,2.309223788,3.003383197,3.005581648,3.005581648,1.411220815,0.69635786,0.002198451,-6.20E-15,-6.20E-15,-6.20E-15,-6.20E-15,2.518868792,5.054676034,5.054676034,5.728785852,5.733549382,3.888896499,1.355162704,1.355162704,0.681052886,0.676289356,0.002073447,15.15524192,16.91598851,25.62071252,26.39511274,30.99655541,16.24760407,17.85042043,10.24491038,9.702916983,5.57769379,6.039678341,4.012536362,3.716816155,4.274652707,3.803023287,3.280591075,2.278927098,2.221943171,2.208931233,2.51332403,2.176711234,1.850903503,1.113074015,0.341046143,0.34784157,0.645243679,0.929623138,1.583565368,2.265556475,2.990326445,4.65143123,5.004267792,4.344713969,4.278790431,4.695767488,3.358132034,2.713236795,2.986289249,2.365791817,0.909040217,0.544052754,0.812761264,1.923959681,2.205860517,3.186144606,2.921732371,2.911240633,1.785649609,1.754712791,1.029809136,1.285261397,1.281928723,1.02020013,1.023515204,1.022413861,1.019135684,1.324371742,1.904119868,2.222770927,2.215350454,2.210106814,1.648716619,1.316600814,0.985389873,0.740097054,0.739055494,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000
12,#momlife,20171112-160000,1.516451147,1.524450738,2.318950628,3.10224391,3.10224391,3.110400698,3.127031635,3.093406248,2.313486587,2.31943426,1.556226731,1.516051305,0.755176801,1.486431467,2.225650776,2.219827012,1.482496997,1.482496997,0.745166981,1.659404965,3.336292637,4.051380087,4.056743141,4.061999115,2.407746045,0.735909087,0.025773962,0.025267535,0.700757391,0.695605495,1.371300611,1.371111817,1.37092813,1.357982213,2.025782124,2.012836207,2.008072676,2.003399735,1.990799852,1.32299994,1.310400057,1.310400057,1.310400057,0.657234044,1.318628216,1.331228099,1.986428128,12.31673994,19.07462298,33.47305339,33.94899108,36.10796343,28.16523709,22.41690988,8.223495434,7.121861076,5.059357521,5.273883248,5.567538813,5.891573444,7.724562574,7.762911495,6.359538355,6.779701723,6.778152459,4.919836964,4.465128246,4.429830658,3.844728727,2.932712393,4.502887179,4.853287731,5.644797994,6.992267676,6.716244911,6.59991062,5.934890647,4.273469382,1.794144677,2.416172075,1.196949327,1.441430665,1.150512919,1.144628113,0.764920362,0.516999827,0.50890401,0.757041362,0.995978403,0.986373855,1.88821558,0,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
13,#giveaway,20171004-125600,3.196322438,2.662725619,2.000509657,1.993093224,1.985572525,2.606030506,2.612630115,3.228797041,3.211108595,3.193176858,2.54794861,3.01500554,1.904946001,3.854444742,5.104734442,5.0915726,5.66394688,6.716312854,4.291584839,3.027783003,3.031010002,3.049585708,2.456785877,2.458082545,1.99414369,2.550905905,1.918147699,1.918262897,2.375672677,2.833114301,2.840486508,3.447569537,2.987888196,2.972027724,2.513321277,2.534936644,2.549486337,3.002797991,3.005821962,4.075844183,3.45487357,3.447552467,3.432018957,4.012386296,3.39159461,3.417293264,2.815681967,3.384299476,3.384343377,3.372299527,3.363094584,3.360099862,3.363767844,3.339594416,4.53879954,5.114952706,5.109004386,4.531299619,3.530170342,2.325194717,2.288455647,2.285441878,2.271474272,2.687912159,2.255521084,1.690354973,1.262055167,1.792416143,1.797939436,1.797939436,1.803462729,1.796581348,0.848668166,0.85144911,0.853376755,0.858972273,0.858972273,2.484840873,3.051445214,4.016531888,4.025027323,4.028081638,2.408255362,1.833436265,2.380848467,11.90918264,20.08563758,28.94374854,39.49524994,41.84941316,40.1221308,1,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,0,1,1000,1000,1000,1000
14,#giveaway,20171004-155800,33.24687703,26.76801088,16.09659111,12.27669621,7.952984715,6.755869962,5.607839587,6.463584801,6.986397159,4.776365466,4.950331619,4.497699961,3.782185249,3.480872972,3.311407036,4.59459647,4.066373931,4.0328744,4.00192838,2.691903719,1.381679071,1.129575342,1.441806187,1.304566591,1.315010065,1.939210621,2.175506521,1.694688081,2.114393826,2.110632846,1.605466179,2.368829518,2.656350065,2.359991751,2.127707041,1.851945153,0.941592388,0.418174668,0.19303267,0.287089865,0.404923534,0.521863688,1.017282787,1.361036583,1.482123587,1.356649242,1.234982903,1.080877543,0.942693643,0.819188078,0.730206704,0.84337547,0.50336664,0.386843727,0.384552826,0.384517859,0.382770866,0.467749366,0.464062346,0.459927311,0.547082025,0.543954976,0.543202367,0.911951661,0.827047709,1.192162643,0.994149751,1.359791343,0.992391877,0.992509151,0.857263651,1.723607436,1.992895065,2.09766576,2.097639901,1.864069032,1.187662902,0.657288018,0.465708579,0.653915452,0.759556346,0.651675188,0.650246037,0.650395374,0.663135047,0.556454462,0.553421293,0.903007222,0.955016594,1.137258598,1.190943996,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
15,#giveaway,20171005-165400,1.842922146,3.433913653,3.453351676,3.455229281,3.446783309,3.017273237,1.419942237,0.427468048,0.426429499,0.429179895,0.431082287,0.851339618,1.282902629,1.714454648,1.720150224,2.150638908,1.729564302,1.729564302,1.299100871,0.871167901,0.871135693,0.872008993,0.880768654,1.319991746,1.318887052,1.899908644,2.343178621,2.34617116,2.874590045,4.49794429,3.916922698,3.472779422,3.030656072,2.499248027,1.322678803,1.903700396,2.347809063,2.345789137,2.348640009,2.929318701,2.946755365,2.503581622,2.505774813,2.065737257,2.083540309,1.518788957,1.967949252,1.965756062,2.434233078,1.841760253,1.375694481,1.401845157,1.401845157,1.405198479,2.027518214,3.1059853,4.388343901,5.474659131,5.471304407,4.875976969,3.803076875,2.527610477,3.328765129,4.605763955,4.213539997,5.334925538,5.333437186,5.124738555,5.041781249,5.33909886,4.564157111,4.107731861,3.402145466,2.606706501,3.154942706,3.210257515,3.545621357,3.901107158,3.920333249,4.343619713,4.30013833,4.307596429,3.332359553,3.252734185,1.913555094,2.353204638,2.330998724,14.53823404,23.36340506,33.40875304,34.20879794,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,#giveaway,20171005-195600,35.97170392,23.85791079,14.60976107,5.106213281,3.608287904,3.672202214,4.386558535,5.037657191,5.347462298,6.001078834,4.346207616,4.022483254,4.093611671,3.513739966,3.575631566,3.149868031,3.338468518,3.017144263,3.530057844,3.122014649,3.814602049,3.373457681,2.592818768,2.203347923,2.893053349,3.038713963,2.699850547,2.941012193,2.627110766,1.634925678,0.803648783,0.560430066,0.410425519,0.311127599,0.438122285,0.570976154,0.668519173,0.671669638,1.189907453,1.637565762,2.078080603,2.65368718,3.06291088,2.903885292,2.437867118,1.767013659,1.448430651,1.437565351,1.575748671,1.848150288,1.848417601,2.131585078,2.268973587,1.77025012,1.622607253,1.711541929,1.280096817,0.85541916,0.944912143,0.690656128,0.687417391,0.814047802,0.813656958,0.811843114,0.722433252,0.635100357,0.391682536,0.181959605,0.093386179,0.440653066,0.652153208,0.773773731,0.991183556,1.084602815,0.954015461,0.836475682,0.715497206,0.855559853,0.982306721,0.86118686,0.861893615,0.863322587,0.85974883,0.639471112,0.543682075,0.80880731,1.069308083,0.982123774,1.228358984,1.525032755,1.278446106,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,0
17,#giveaway,20171006-153000,3.076916498,3.068679405,2.585541306,2.567701052,2.560578023,2.557220678,1.898240475,2.331552848,2.922814406,2.88976531,2.876359482,2.419271285,13.12389227,20.12314922,20.97548219,21.02026379,23.55136589,13.21396768,5.525563145,4.574791715,4.395804336,2.593536647,3.569632211,3.513736104,3.163904647,4.021781521,4.051439333,2.283850143,2.283700109,2.576050284,1.394732741,0.639172765,0.903282385,1.677742314,2.474826683,2.483707549,3.563227757,3.578009025,3.130036731,2.323974881,2.309942119,2.69951778,3.899590881,3.87303781,4.196556743,5.637610118,4.431017134,3.21056522,2.584914658,2.254737787,0.814943,0.548636686,0.899874034,1.174768691,1.17108613,1.44223447,1.707274857,1.359676302,1.691240983,2.031084934,2.025065303,3.153941618,4.277913213,3.942637236,3.597877177,3.950344156,2.82637256,1.702400964,1.702409993,1.69638144,1.078741384,1.075129515,1.06445035,0.795962474,0.534670025,0.796330895,0.528750374,0.524367337,1.111351536,2.86810304,3.56252535,3.820868834,3.816546658,3.80909512,2.62821534,1.92166624,1.917298406,1.665783043,2.816388148,17.18349212,19.05359263,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,0
18,#giveaway,20171006-183200,23.89416567,25.10031734,23.50703812,12.34292607,11.24018952,6.434608593,5.257499917,5.308768069,2.289654324,1.423031888,1.455343945,1.438986435,1.978427427,1.531192776,1.380625949,1.387051622,1.512705031,2.929416866,2.796552124,2.961082805,3.539325957,3.706103544,1.846855298,2.765698408,3.704500558,3.279401053,2.973991933,2.814922005,1.842436699,0.738180878,0.384448965,0.67719437,0.675023424,0.672852479,0.673500848,0.838751882,0.548703559,0.705263014,1.206674055,1.871483178,1.858115337,2.312970621,2.485705971,2.500625711,2.881877477,2.886736791,3.070552174,3.067413298,2.702636476,1.656081004,1.650909447,1.449487672,1.824173501,1.664421559,1.664507854,1.824962262,2.009455762,1.299625087,1.454051108,1.45435639,1.015759162,0.506966237,0.830279921,0.676400048,0.794430754,1.065381943,1.066981895,1.066981895,1.21994188,1.219141443,0.94764489,0.830544646,0.508030073,0.356153334,0.238377701,0.510784629,0.783668053,0.665510527,0.667142598,0.785980537,0.634043205,0.634660311,0.634512724,0.633429088,0.634517467,0.78893895,0.631968541,1.075422347,1.098983648,1.148962028,1.051412913,0,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000
19,#giveaway,20171007-144200,0.9713392,0.498533968,0.990049425,2.816810404,2.836674513,4.13543255,5.213899636,5.199530069,3.841181674,6.254800457,6.192084196,5.113617109,5.087055421,5.090410919,3.118382324,1.871583395,2.334008671,2.971173569,5.779030864,7.109025807,8.318820243,10.29964362,9.672380406,6.854586002,5.518385691,4.294900447,1.853923352,1.853884682,3.783270829,5.032936333,5.001223806,7.237400362,9.094666875,7.6826242,6.956868219,6.94863179,5.136879173,4.390608606,4.994720674,5.558252051,5.560396822,5.549414699,4.889347262,3.319176688,3.253122418,3.721517181,4.208662365,5.307017643,6.720572025,6.118764618,5.231562226,5.199427019,4.027800067,2.928367258,3.404434668,4.222676041,3.726039687,3.247220874,3.262688658,1.912775682,1.435268083,1.061181082,1.963928817,1.92940461,3.70395866,3.685135921,4.027243385,7.215049786,9.199850104,8.167530367,7.841163201,7.504106451,3.749404664,2.55188075,2.432209294,3.504951355,3.499900641,2.806881453,1.71756221,1.356131781,0.568927233,0.82539538,1.101752997,1.351454191,1.32028309,1.635412591,1.643969453,2.280203179,2.039765191,2.733099074,2.359652059,0,1000,1000,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,0,1000,1000,1000,1000
